prefecture,type,year,land_price,ping_unit_price,change
奈良県,総平均,1994年［平成6年］,18万8250円/m2,62万2316円/坪,-10.85％
奈良県,総平均,1995年［平成7年］,17万2007円/m2,56万8619円/坪,-8.63％
奈良県,総平均,1996年［平成8年］,15万5822円/m2,51万5115円/坪,-9.41％
奈良県,総平均,1997年［平成9年］,15万0157円/m2,49万6387円/坪,-3.64％
奈良県,総平均,1998年［平成10年］,14万5513円/m2,48万1035円/坪,-3.09％
奈良県,総平均,1999年［平成11年］,13万5531円/m2,44万8038円/坪,-6.86％
熊本県,総平均,1998年［平成10年］,13万1708円/m2,43万5399円/坪,-11.06％
熊本県,総平均,1999年［平成11年］,11万8641円/m2,39万2204円/坪,-9.92％
熊本県,総平均,2000年［平成12年］,10万7425円/m2,35万5125円/坪,-9.45％
熊本県,総平均,2001年［平成13年］,9万8468円/m2,32万5515円/坪,-8.34％
熊本県,総平均,2002年［平成14年］,9万1130円/m2,30万1256円/坪,-7.45％
熊本県,総平均,2003年［平成15年］,8万4581円/m2,27万9609円/坪,-7.19％
熊本県,総平均,2004年［平成16年］,7万8861円/m2,26万0700円/坪,-6.76％
愛媛県,総平均,1997年［平成9年］,11万7316円/m2,38万7821円/坪,-5.24％
愛媛県,総平均,1998年［平成10年］,10万9918円/m2,36万3367円/坪,-6.31％
愛媛県,総平均,1999年［平成11年］,10万2892円/m2,34万0139円/坪,-6.39％
愛媛県,総平均,2000年［平成12年］,9万8668円/m2,32万6176円/坪,-4.10％
愛媛県,総平均,2001年［平成13年］,9万2894円/m2,30万7088円/坪,-5.85％
愛媛県,総平均,2002年［平成14年］,8万7347円/m2,28万8753円/坪,-5.97％
愛媛県,総平均,2003年［平成15年］,8万3847円/m2,27万7182円/坪,-4.01％
愛媛県,総平均,2004年［平成16年］,7万8764円/m2,26万0379円/坪,-6.06％
沖縄県,総平均,2014年［平成26年］,7万3454円/m2,24万2826円/坪,+0.44％
沖縄県,総平均,2015年［平成27年］,7万4411円/m2,24万5989円/坪,+1.30％
沖縄県,総平均,2016年［平成28年］,7万7227円/m2,25万5297円/坪,+3.78％
沖縄県,公示地価平均,1983年［昭和58年］,8万8072円/m2,29万1149円/坪,
沖縄県,公示地価平均,1984年［昭和59年］,9万2590円/m2,30万6085円/坪,+5.13％
沖縄県,公示地価平均,1985年［昭和60年］,9万6363円/m2,31万8557円/坪,+4.07％
沖縄県,公示地価平均,1986年［昭和61年］,10万8300円/m2,35万8016円/坪,+12.39％
石川県,総平均,2003年［平成15年］,8万6213円/m2,28万5004円/坪,-10.82％
石川県,総平均,2004年［平成16年］,7万7490円/m2,25万6165円/坪,-10.12％
石川県,総平均,2005年［平成17年］,7万1292円/m2,23万5676円/坪,-8.00％
石川県,総平均,2006年［平成18年］,6万8917円/m2,22万7826円/坪,-3.33％
石川県,総平均,2007年［平成19年］,6万7550円/m2,22万3306円/坪,-1.98％
石川県,総平均,2008年［平成20年］,6万9282円/m2,22万9033円/坪,+2.56％
石川県,総平均,2009年［平成21年］,6万5021円/m2,21万4948円/坪,-6.15％
石川県,総平均,2010年［平成22年］,6万2528円/m2,20万6707円/坪,-3.83％
岡山県,公示地価平均,2003年［平成15年］,7万9895円/m2,26万4116円/坪,-10.00％
岡山県,公示地価平均,2004年［平成16年］,7万4021円/m2,24万4699円/坪,-7.35％
岡山県,公示地価平均,2005年［平成17年］,7万0074円/m2,23万1652円/坪,-5.33％
岡山県,公示地価平均,2006年［平成18年］,6万8293円/m2,22万5764円/坪,-2.54％
岡山県,公示地価平均,2007年［平成19年］,6万9295円/m2,22万9077円/坪,+1.47％
岡山県,公示地価平均,2008年［平成20年］,7万0503円/m2,23万3068円/坪,+1.74％
岡山県,公示地価平均,2009年［平成21年］,6万8998円/m2,22万8094円/坪,-2.13％
岡山県,公示地価平均,2010年［平成22年］,6万5861円/m2,21万7725円/坪,-4.55％
奈良県,総平均,2000年［平成12年］,12万6069円/m2,41万6759円/坪,-6.98％
奈良県,総平均,2001年［平成13年］,11万7524円/m2,38万8509円/坪,-6.78％
奈良県,総平均,2002年［平成14年］,10万7521円/m2,35万5441円/坪,-8.51％
奈良県,総平均,2003年［平成15年］,9万7582円/m2,32万2586円/坪,-9.24％
奈良県,総平均,2004年［平成16年］,8万9017円/m2,29万4271円/坪,-8.78％
奈良県,総平均,2005年［平成17年］,8万4220円/m2,27万8413円/坪,-5.39％
奈良県,総平均,2006年［平成18年］,8万2514円/m2,27万2773円/坪,-2.03％
奈良県,総平均,2007年［平成19年］,8万3072円/m2,27万4620円/坪,+0.68％
奈良県,総平均,2008年［平成20年］,8万4496円/m2,27万9327円/坪,+1.71％
熊本県,総平均,2005年［平成17年］,7万3600円/m2,24万3306円/坪,-6.67％
熊本県,総平均,2006年［平成18年］,6万9535円/m2,22万9869円/坪,-5.52％
熊本県,総平均,2007年［平成19年］,6万8291円/m2,22万5758円/坪,-1.79％
熊本県,総平均,2008年［平成20年］,6万7341円/m2,22万2617円/坪,-1.39％
熊本県,総平均,2009年［平成21年］,6万4712円/m2,21万3926円/坪,-3.90％
熊本県,総平均,2010年［平成22年］,6万2077円/m2,20万5215円/坪,-4.07％
熊本県,総平均,2011年［平成23年］,5万9891円/m2,19万7989円/坪,-3.52％
愛媛県,総平均,2005年［平成17年］,7万5365円/m2,24万9141円/坪,-4.32％
愛媛県,総平均,2006年［平成18年］,7万3763円/m2,24万3846円/坪,-2.13％
愛媛県,総平均,2007年［平成19年］,7万3132円/m2,24万1758円/坪,-0.86％
愛媛県,総平均,2008年［平成20年］,7万2870円/m2,24万0895円/坪,-0.36％
愛媛県,総平均,2009年［平成21年］,7万0845円/m2,23万4201円/坪,-2.78％
愛媛県,総平均,2010年［平成22年］,6万8595円/m2,22万6761円/坪,-3.18％
愛媛県,総平均,2011年［平成23年］,6万7258円/m2,22万2342円/坪,-1.95％
愛媛県,総平均,2012年［平成24年］,6万5203円/m2,21万5549円/坪,-3.06％
愛媛県,総平均,2013年［平成25年］,6万2797円/m2,20万7593円/坪,-3.69％
愛媛県,総平均,2014年［平成26年］,6万0922円/m2,20万1398円/坪,-2.98％
沖縄県,公示地価平均,1987年［昭和62年］,11万9317円/m2,39万4438円/坪,+10.17％
沖縄県,公示地価平均,1988年［昭和63年］,11万5300円/m2,38万1157円/坪,-3.37％
沖縄県,公示地価平均,1989年［平成元年］,14万2185円/m2,47万0035円/坪,+23.32％
沖縄県,公示地価平均,1990年［平成2年］,22万6326円/m2,74万8188円/坪,+59.18％
沖縄県,公示地価平均,1991年［平成3年］,24万4993円/m2,80万9896円/坪,+8.25％
沖縄県,公示地価平均,1992年［平成4年］,22万3187円/m2,73万7808円/坪,-8.90％
沖縄県,公示地価平均,1993年［平成5年］,20万6555円/m2,68万2827円/坪,-7.45％
沖縄県,公示地価平均,1994年［平成6年］,17万3701円/m2,57万4219円/坪,-15.91％
沖縄県,公示地価平均,1995年［平成7年］,16万1001円/m2,53万2235円/坪,-7.31％
石川県,総平均,2011年［平成23年］,5万9610円/m2,19万7058円/坪,-4.67％
石川県,総平均,2012年［平成24年］,5万7869円/m2,19万1304円/坪,-2.92％
